GENE_NAME	human
NFYA	17.3
IBTK	3.94
IFI35	9.3
TAL1	3.72
ELAVL4	26.3
ZYG11B	7.62
SLC1A7	0.41
ACOT11	15.48
FAM151A	1.31
HEATR6	12.85
PARS2	3.47
C1orf177	0.0
BSND	0.0
USP24	10.2
PPAP2B	54.14
NOL9	2.96
PRKAA2	1.1
KLHL21	50.4
SLC45A1	39.74
AK4	7.65
JAK1	13.36
RAVER2	4.18
CTRC	0.24
LZIC	4.0
RBP7	9.0
FBLIM1	1.9
PLEKHH3	6.93
TMEM82	0.0
SLC25A34	3.55
PDPN	3.18
LRRC38	1.08
DHRS3	32.17
MATN1	0.35
LAPTM5	38.57
SDC3	125.74
PEF1	85.46
SYNC	1.33
KIAA1522	18.27
TSSK3	1.87
TMCO4	3.62
ALPL	36.27
WNT4	5.97
TTLL10	0.71
MXRA8	45.86
MEGF6	6.39
CCDC27	0.0
IL23R	0.0
C1orf87	0.53
NFIA	20.09
OMA1	1.75
TM2D1	18.84
TFE3	57.52
USP1	1.07
FUBP1	25.44
NEXN	0.51
DNAJB4	7.18
LRRC53	0.0
TYW3	4.19
LHX8	0.0
TBC1D25	36.83
NTNG1	13.11
WDR63	1.33
ZNF326	4.83
ACSL4	14.74
BRINP3	4.95
GFI1	0.0
KCNT2	0.53
EXTL2	2.73
SLC30A7	0.37
ZNF281	5.21
INPP5A	49.64
CADM3	426.4
TRIM58	0.74
SLAMF9	0.0
KCNJ9	99.56
IGSF8	365.03
DDR2	4.19
PEA15	1091.54
NCSTN	36.41
VANGL2	7.77
OLFML2B	12.66
FCRLB	1.54
KLHDC9	17.07
C1orf74	1.31
LMX1A	0.0
LRRC52	0.25
GRIPAP1	59.51
FLVCR1	1.89
RBM15	1.22
DENND2D	0.37
AXDND1	0.0
TDRD5	0.48
SNED1	12.96
BPNT1	11.77
SPATA17	1.33
C1orf115	88.35
BROX	4.16
ACP6	1.58
KIF26B	3.16
CNST	10.61
PPP1R21	7.98
KLHDC8A	9.99
PM20D1	0.32
PKDCC	33.42
HAAO	4.21
B3GALNT2	4.43
MAPKAPK2	17.9
IL20	0.0
IL24	0.0
FAIM3	0.39
PIGR	0.0
REEP1	43.2
CAPN2	53.89
WDR26	14.79
REL	0.43
PUS10	0.97
KIAA1841	8.79
ATP11A	52.09
RFTN2	17.82
DISC1	3.19
LRRTM1	57.81
MEMO1	24.71
DPY30	26.98
TYW5	0.61
KCNF1	122.87
PQLC3	10.97
POLR1A	31.75
FAM84A	23.52
KCNJ3	25.66
NEUROD1	3.92
FRZB	6.5
DUSP19	1.26
CCDC104	19.05
CCDC138	0.64
LAPTM4A	23.24
ZSWIM2	0.0
FBXO41	71.53
ACTG2	33.3
VSNL1	275.56
ADCK3	37.34
SLC16A14	8.27
EN1	0.0
TTC7A	16.37
SGCB	9.29
SPATA18	0.71
NOSTRIN	0.0
SGPP2	7.41
INHBB	5.79
XIRP2	0.03
SMARCAD1	1.69
HPGDS	1.26
IP6K2	62.31
PDLIM5	19.18
STPG2	0.0
NEURL3	0.94
RPRD2	11.03
ANKRD23	9.5
CTSS	3.11
MSX1	12.35
MYCBP2	91.22
TNFAIP8L2	2.36
LYSMD1	4.93
SCNM1	10.16
TMOD4	0.34
VPS72	26.5
ERCC3	24.85
RNF149	9.33
IWS1	14.1
SRBD1	0.18
SPRR3	0.0
DHX57	6.74
BMP10	0.0
ARHGAP25	4.39
S100A12	0.0
TGFA	10.07
TDRD10	3.37
KIF2A	17.38
CCNYL1	4.85
FZD5	1.8
C1orf189	0.0
NPPC	13.73
GNPDA2	6.12
GABRG1	2.23
GABRB1	8.99
PAQR3	12.56
NIPAL1	0.67
ANTXR2	1.87
HELQ	2.02
GPR155	11.88
DAPL1	1.13
PMVK	71.79
PBXIP1	77.44
CLDN1	1.07
PYGO2	17.78
HIPK1	23.67
DCST2	0.7
DCST1	0.0
COL6A3	1.51
KBTBD8	0.36
FAM19A4	0.37
EOGT	1.52
LMOD3	0.0
APOA1BP	79.38
POGLUT1	1.81
SLC22A15	5.64
CCKAR	0.4
ATP1A1	290.91
EIF4E3	26.07
SIRT2	151.48
PROK2	0.0
LRRC58	1.55
FSTL1	10.77
LMOD1	4.87
ELF3	0.11
IGFBP7	234.69
TRIM46	22.36
ARPC2	207.03
TSACC	0.33
TMEM79	3.6
SSR2	75.03
RNF25	39.5
STK36	12.88
ADORA1	103.13
NEK10	2.63
FEV	1.29
IHH	0.17
KIAA1524	0.51
EOMES	0.0
TGFBR2	5.12
PYGM	37.15
ANKZF1	22.91
TRAT1	0.0
FBLN2	40.06
GLB1L	2.12
STT3B	11.47
NFASC	70.86
FCRL1	0.0
FBXL3	10.31
SERPINI1	75.2
CLASP2	76.22
SUCLG1	38.82
NUAK2	1.0
SPTA1	0.0
PRKCI	4.65
EFHB	0.98
FABP1	1.31
ICA1L	7.83
CTLA4	0.7
ICOS	0.0
RYBP	3.64
GTPBP8	10.24
C3orf17	6.29
TRPC7	0.67
SPICE1	0.58
KIAA1407	1.61
CADPS	77.35
NKX6-1	0.39
CDS1	5.78
WDFY3	17.04
COX18	5.67
SYNPR	84.86
ALB	0.89
C3orf49	0.27
ATXN7	14.65
PSMD6	38.16
PRICKLE2	22.39
ADAMTS9	1.5
PPM1K	26.76
FAM194A	3.03
CLRN1	0.0
GMPS	5.94
GPR116	7.01
TIPARP	1.91
CCNL1	16.1
PTX3	0.88
DCLK3	1.44
SLMAP	13.49
RPP14	8.12
ABHD6	31.95
DNASE1L3	0.0
SDK2	5.85
C3orf67	0.75
APBB2	43.69
IL17RE	2.0
IL17RC	20.32
CRELD1	101.32
PRRT3	25.81
FANCD2OS	0.59
PCOLCE2	2.22
ADAM7	0.0
MTMR14	15.0
TTC14	9.55
MTHFD2L	2.39
RCHY1	19.51
CCDC158	0.55
CPA3	0.0
HPS3	7.87
TM4SF18	1.69
NUP133	4.77
RYK	3.1
TCF23	0.24
DNAJC5G	1.41
UCN	5.39
ZNF513	32.13
PLB1	2.52
KIAA1143	1.72
KIF15	0.15
WDR43	3.38
ZDHHC3	40.38
CDCP1	0.77
CLEC3B	31.76
FYCO1	3.89
