GENE_NAME	human
NFYA	3.43
IBTK	16.19
IFI35	6.29
TAL1	2.46
ELAVL4	0.0
ZYG11B	28.92
SLC1A7	0.31
ACOT11	8.96
FAM151A	0.32
HEATR6	3.67
PARS2	1.82
C1orf177	0.01
BSND	0.01
USP24	17.12
PPAP2B	52.23
NOL9	5.16
PRKAA2	67.69
KLHL21	19.58
SLC45A1	0.62
AK4	36.97
JAK1	59.55
RAVER2	15.21
CTRC	0.18
LZIC	23.62
RBP7	54.21
FBLIM1	19.37
PLEKHH3	1.72
TMEM82	0.0
SLC25A34	4.01
PDPN	10.12
LRRC38	0.05
DHRS3	26.26
MATN1	0.05
LAPTM5	28.79
SDC3	7.12
PEF1	19.24
SYNC	15.43
KIAA1522	1.7
TSSK3	0.64
TMCO4	2.18
ALPL	6.16
WNT4	0.08
TTLL10	0.1
MXRA8	6.92
MEGF6	1.52
CCDC27	0.02
IL23R	0.0
C1orf87	0.0
NFIA	23.7
OMA1	11.69
TM2D1	24.41
TFE3	9.78
USP1	9.53
FUBP1	27.79
NEXN	360.63
DNAJB4	64.92
LRRC53	0.23
TYW3	13.59
LHX8	0.0
TBC1D25	7.05
NTNG1	0.14
WDR63	0.29
ZNF326	7.35
ACSL4	20.59
BRINP3	0.21
GFI1	0.15
KCNT2	0.76
EXTL2	4.95
SLC30A7	2.62
ZNF281	4.28
INPP5A	52.41
CADM3	2.95
TRIM58	0.13
SLAMF9	0.06
KCNJ9	0.07
IGSF8	5.01
DDR2	11.03
PEA15	122.64
NCSTN	38.8
VANGL2	1.3
OLFML2B	2.28
FCRLB	0.39
KLHDC9	2.28
C1orf74	1.35
LMX1A	0.1
LRRC52	0.25
GRIPAP1	7.12
FLVCR1	0.43
RBM15	3.36
DENND2D	1.34
AXDND1	0.02
TDRD5	0.0
SNED1	2.72
BPNT1	10.18
SPATA17	0.64
C1orf115	9.06
BROX	15.62
ACP6	2.33
KIF26B	1.66
CNST	11.82
PPP1R21	7.41
KLHDC8A	0.06
PM20D1	0.22
PKDCC	12.33
HAAO	1.19
B3GALNT2	9.03
MAPKAPK2	92.97
IL20	0.02
IL24	0.37
