GENE_NAME	human
NFYA	3.41
IBTK	5.97
IFI35	29.9
TAL1	3.78
ELAVL4	0.0
ZYG11B	2.72
SLC1A7	2.74
ACOT11	15.88
FAM151A	346.06
HEATR6	2.57
PARS2	2.51
C1orf177	0.15
BSND	11.95
USP24	6.14
PPAP2B	64.33
NOL9	1.86
PRKAA2	1.51
KLHL21	8.15
SLC45A1	6.34
AK4	56.39
JAK1	20.45
RAVER2	2.79
CTRC	0.2
LZIC	6.6
RBP7	6.25
FBLIM1	9.42
PLEKHH3	8.61
TMEM82	25.65
SLC25A34	8.08
PDPN	2.51
LRRC38	0.03
DHRS3	68.79
MATN1	0.08
LAPTM5	9.18
SDC3	5.42
PEF1	36.93
SYNC	0.28
KIAA1522	29.29
TSSK3	1.77
TMCO4	11.4
ALPL	137.61
WNT4	1.48
TTLL10	0.51
MXRA8	29.87
MEGF6	4.06
CCDC27	0.03
IL23R	0.25
C1orf87	0.06
NFIA	2.68
OMA1	10.91
TM2D1	12.58
TFE3	28.26
USP1	2.22
FUBP1	27.12
NEXN	2.51
DNAJB4	5.28
LRRC53	0.0
TYW3	5.4
LHX8	0.0
TBC1D25	4.81
NTNG1	7.78
WDR63	0.41
ZNF326	4.42
ACSL4	13.5
BRINP3	0.31
GFI1	0.04
KCNT2	0.11
EXTL2	1.73
SLC30A7	1.24
ZNF281	0.67
INPP5A	8.74
CADM3	0.44
TRIM58	0.38
SLAMF9	0.0
KCNJ9	0.04
IGSF8	34.08
DDR2	1.7
PEA15	49.43
NCSTN	45.99
VANGL2	2.05
OLFML2B	0.78
FCRLB	1.85
KLHDC9	16.36
C1orf74	1.5
LMX1A	0.05
LRRC52	0.04
GRIPAP1	23.22
FLVCR1	2.21
RBM15	1.24
DENND2D	19.41
AXDND1	3.23
TDRD5	0.57
SNED1	2.7
BPNT1	15.78
SPATA17	2.37
C1orf115	45.59
BROX	5.58
ACP6	21.33
KIF26B	0.56
CNST	2.77
PPP1R21	13.54
KLHDC8A	0.06
PM20D1	2.56
PKDCC	22.77
HAAO	55.9
B3GALNT2	2.14
MAPKAPK2	51.56
IL20	0.07
IL24	0.24
FAIM3	1.53
PIGR	160.51
REEP1	1.03
CAPN2	109.9
WDR26	11.12
REL	0.46
PUS10	1.98
KIAA1841	15.21
ATP11A	7.57
RFTN2	0.56
DISC1	0.6
LRRTM1	0.57
MEMO1	8.02
DPY30	41.54
TYW5	1.63
KCNF1	0.37
PQLC3	8.34
POLR1A	5.52
FAM84A	3.54
KCNJ3	2.11
NEUROD1	0.02
FRZB	2.23
DUSP19	0.45
CCDC104	24.19
CCDC138	0.32
LAPTM4A	221.3
ZSWIM2	0.0
FBXO41	0.31
ACTG2	0.49
VSNL1	0.51
ADCK3	19.72
SLC16A14	0.56
EN1	0.0
TTC7A	12.31
SGCB	10.82
SPATA18	2.48
NOSTRIN	13.45
SGPP2	7.81
INHBB	1.44
XIRP2	0.0
SMARCAD1	1.49
HPGDS	0.11
IP6K2	45.94
PDLIM5	11.27
STPG2	0.12
NEURL3	2.47
RPRD2	7.96
ANKRD23	1.81
CTSS	4.59
MSX1	1.03
MYCBP2	8.61
TNFAIP8L2	0.42
LYSMD1	3.61
SCNM1	16.6
TMOD4	0.48
VPS72	23.41
ERCC3	14.07
RNF149	13.27
IWS1	12.52
SRBD1	2.01
SPRR3	0.0
DHX57	4.74
BMP10	0.0
ARHGAP25	2.92
S100A12	2.9
TGFA	3.27
TDRD10	2.49
KIF2A	2.11
CCNYL1	2.93
FZD5	3.81
C1orf189	0.0
NPPC	0.13
GNPDA2	3.68
