GENE_NAME	human
NFYA	3.78
IBTK	11.09
IFI35	17.41
TAL1	0.48
ELAVL4	0.04
ZYG11B	4.48
SLC1A7	4.94
ACOT11	1.6
FAM151A	16.75
HEATR6	1.92
PARS2	1.73
C1orf177	0.05
BSND	0.02
USP24	5.48
PPAP2B	47.1
NOL9	2.87
PRKAA2	0.09
KLHL21	12.54
SLC45A1	0.03
AK4	88.13
JAK1	18.5
RAVER2	0.17
CTRC	0.29
LZIC	5.83
RBP7	1.12
FBLIM1	2.44
PLEKHH3	38.36
TMEM82	20.79
SLC25A34	0.83
PDPN	0.18
LRRC38	0.06
DHRS3	352.63
MATN1	0.04
LAPTM5	13.68
SDC3	11.45
PEF1	30.01
SYNC	0.42
KIAA1522	5.32
TSSK3	0.92
TMCO4	4.72
ALPL	26.47
WNT4	1.93
TTLL10	0.45
MXRA8	7.57
MEGF6	2.32
CCDC27	0.0
IL23R	0.1
C1orf87	0.0
NFIA	21.85
OMA1	7.37
TM2D1	8.9
TFE3	11.53
USP1	1.26
FUBP1	10.41
NEXN	0.6
DNAJB4	9.49
LRRC53	0.0
TYW3	3.85
LHX8	0.0
TBC1D25	6.05
NTNG1	0.02
WDR63	0.02
ZNF326	8.55
ACSL4	4.78
BRINP3	0.0
GFI1	0.35
KCNT2	0.27
EXTL2	2.04
SLC30A7	2.03
ZNF281	4.19
INPP5A	14.86
CADM3	0.11
TRIM58	0.14
SLAMF9	0.56
KCNJ9	0.0
IGSF8	28.12
DDR2	0.41
PEA15	16.63
NCSTN	22.98
VANGL2	0.11
OLFML2B	0.32
FCRLB	0.75
KLHDC9	3.19
C1orf74	1.04
LMX1A	0.0
LRRC52	0.0
GRIPAP1	14.73
FLVCR1	1.87
RBM15	2.94
DENND2D	8.49
AXDND1	0.0
TDRD5	0.0
SNED1	12.61
BPNT1	12.84
SPATA17	0.97
C1orf115	66.54
BROX	2.24
ACP6	6.38
KIF26B	0.07
CNST	4.04
PPP1R21	3.51
KLHDC8A	0.0
PM20D1	0.0
PKDCC	12.37
HAAO	420.62
B3GALNT2	4.63
MAPKAPK2	27.87
IL20	0.0
IL24	0.04
FAIM3	1.84
PIGR	14.66
REEP1	0.32
CAPN2	7.31
WDR26	9.36
REL	0.94
PUS10	2.19
KIAA1841	15.22
ATP11A	11.16
RFTN2	0.48
DISC1	0.41
LRRTM1	0.2
MEMO1	15.89
DPY30	34.12
TYW5	2.28
KCNF1	0.0
PQLC3	4.78
POLR1A	10.35
FAM84A	2.23
KCNJ3	0.46
NEUROD1	0.03
FRZB	0.77
DUSP19	0.23
CCDC104	1.67
CCDC138	0.63
LAPTM4A	86.25
ZSWIM2	0.0
FBXO41	0.17
ACTG2	1.75
VSNL1	7.96
ADCK3	64.63
SLC16A14	1.51
EN1	0.04
TTC7A	3.66
SGCB	1.53
SPATA18	0.56
NOSTRIN	1.44
SGPP2	0.35
INHBB	1.05
XIRP2	0.0
SMARCAD1	0.75
HPGDS	0.28
IP6K2	31.16
PDLIM5	14.14
STPG2	0.02
NEURL3	0.87
RPRD2	4.87
ANKRD23	2.37
CTSS	16.63
MSX1	0.36
MYCBP2	11.57
TNFAIP8L2	1.15
LYSMD1	1.69
SCNM1	15.58
TMOD4	0.35
VPS72	16.27
ERCC3	8.05
RNF149	19.99
IWS1	11.48
SRBD1	2.16
SPRR3	0.0
DHX57	2.6
BMP10	0.38
ARHGAP25	2.58
S100A12	0.31
TGFA	1.26
TDRD10	1.43
KIF2A	0.77
CCNYL1	6.37
FZD5	10.0
C1orf189	0.0
NPPC	0.0
GNPDA2	0.83
GABRG1	0.01
GABRB1	0.0
PAQR3	3.35
NIPAL1	1.25
ANTXR2	14.91
HELQ	1.96
GPR155	2.26
DAPL1	0.0
PMVK	75.16
PBXIP1	16.1
CLDN1	75.31
PYGO2	7.36
HIPK1	7.92
DCST2	0.82
DCST1	0.2
COL6A3	3.4
KBTBD8	0.06
FAM19A4	0.03
EOGT	1.16
LMOD3	0.04
APOA1BP	75.7
POGLUT1	2.94
SLC22A15	0.02
CCKAR	0.0
ATP1A1	102.86
EIF4E3	3.75
SIRT2	36.75
PROK2	0.07
LRRC58	0.88
FSTL1	6.3
LMOD1	0.65
ELF3	5.77
IGFBP7	93.83
TRIM46	0.15
ARPC2	48.85
TSACC	1.31
TMEM79	2.31
SSR2	79.8
RNF25	15.14
STK36	4.79
ADORA1	0.5
NEK10	0.45
FEV	0.0
IHH	3.26
KIAA1524	0.08
EOMES	0.45
TGFBR2	7.76
PYGM	0.47
ANKZF1	13.59
TRAT1	0.37
FBLN2	1.76
GLB1L	1.33
STT3B	24.15
NFASC	0.92
FCRL1	0.1
FBXL3	8.14
SERPINI1	1.02
CLASP2	5.36
SUCLG1	76.47
NUAK2	0.84
SPTA1	0.0
PRKCI	2.75
EFHB	0.0
FABP1	3411.08
ICA1L	1.05
CTLA4	0.15
ICOS	0.0
RYBP	3.16
GTPBP8	2.45
C3orf17	7.16
TRPC7	0.0
SPICE1	0.76
KIAA1407	0.21
CADPS	0.05
NKX6-1	0.03
CDS1	0.38
WDFY3	3.57
COX18	7.35
SYNPR	0.0
ALB	72205.31
C3orf49	0.68
ATXN7	3.23
PSMD6	28.41
PRICKLE2	1.69
ADAMTS9	1.77
PPM1K	1.54
FAM194A	0.07
CLRN1	0.0
GMPS	8.61
GPR116	2.58
TIPARP	5.29
CCNL1	30.4
PTX3	0.04
DCLK3	0.01
SLMAP	8.13
RPP14	14.8
ABHD6	41.36
DNASE1L3	56.66
SDK2	0.08
C3orf67	0.54
APBB2	6.35
IL17RE	34.44
IL17RC	129.5
CRELD1	28.31
PRRT3	0.43
FANCD2OS	0.0
PCOLCE2	45.55
ADAM7	0.0
MTMR14	10.91
TTC14	4.09
MTHFD2L	1.93
RCHY1	11.24
CCDC158	0.4
CPA3	0.15
HPS3	1.85
TM4SF18	0.5
NUP133	2.98
RYK	9.04
TCF23	0.0
DNAJC5G	0.0
UCN	1.45
ZNF513	10.16
PLB1	0.36
KIAA1143	3.48
KIF15	0.05
WDR43	8.63
ZDHHC3	14.91
CDCP1	0.11
CLEC3B	31.63
FYCO1	7.97
VPS35	5.22
ELP6	22.51
FBXO40	0.03
DTX3L	5.84
ZNF148	4.07
NMNAT3	2.75
SMIM12	67.81
ITGAL	11.66
TPRA1	24.32
YEATS2	2.45
GRIK3	0.07
ZC3H12A	3.93
DNALI1	6.75
POLR2H	33.75
KLF15	44.43
CCDC37	0.24
BCL3	21.41
CAMK2N2	0.11
LIPH	0.15
TMEM41A	8.93
HEYL	0.36
IFT122	8.24
RHO	0.0
RFC4	2.77
KCNAB2	8.12
BAP1	23.25
PRKCD	5.07
SFMBT1	3.53
GNL3	26.7
PBRM1	5.32
UVSSA	2.06
FAM208A	5.92
ARHGEF3	1.03
SLBP	16.21
ZDHHC19	4.29
SLC51A	24.18
PIGX	4.03
MFI2	0.63
S100P	1.1
GAL	0.0
ABLIM2	1.07
EXO5	3.24
CLDN19	0.16
ERMAP	3.4
SGMS2	4.99
METAP1	7.97
EMCN	0.98
SLC9B1	0.2
SLC9B2	31.04
BDH2	39.82
CDC25A	0.06
PLXNB1	48.54
CCDC51	7.6
SPRY1	5.06
BSN	3.76
APEH	105.25
INTU	0.61
RNF123	31.88
