GENE_NAME	human
NFYA	45.34
IBTK	3.25
IFI35	9.65
TAL1	2.49
ELAVL4	12.14
ZYG11B	6.07
SLC1A7	1.85
ACOT11	4.96
FAM151A	0.74
HEATR6	7.34
PARS2	8.23
C1orf177	8.7
BSND	0.19
USP24	8.49
PPAP2B	90.79
NOL9	5.3
PRKAA2	0.83
KLHL21	30.39
SLC45A1	2.92
AK4	10.63
JAK1	96.4
RAVER2	2.6
CTRC	0.76
LZIC	43.08
RBP7	6.23
FBLIM1	59.07
PLEKHH3	15.63
TMEM82	0.1
SLC25A34	0.88
PDPN	11.0
LRRC38	0.76
DHRS3	43.34
MATN1	0.88
LAPTM5	31.07
SDC3	8.3
PEF1	39.17
SYNC	6.4
KIAA1522	6.07
TSSK3	25.7
TMCO4	6.15
ALPL	18.91
WNT4	0.75
TTLL10	80.93
MXRA8	59.04
MEGF6	4.36
CCDC27	19.43
IL23R	0.77
C1orf87	18.27
NFIA	20.71
OMA1	6.31
TM2D1	16.59
TFE3	25.08
USP1	21.12
FUBP1	39.08
NEXN	6.5
DNAJB4	18.7
LRRC53	0.26
TYW3	9.6
LHX8	1.16
TBC1D25	33.85
NTNG1	0.6
WDR63	12.97
ZNF326	9.06
ACSL4	17.64
BRINP3	1.98
GFI1	1.02
KCNT2	1.7
EXTL2	6.54
SLC30A7	1.6
ZNF281	7.27
INPP5A	59.26
CADM3	8.13
TRIM58	4.92
SLAMF9	1.8
KCNJ9	0.34
IGSF8	20.75
DDR2	10.33
PEA15	127.14
NCSTN	64.66
VANGL2	4.16
OLFML2B	58.74
FCRLB	0.27
KLHDC9	76.06
C1orf74	1.85
LMX1A	2.21
LRRC52	16.52
GRIPAP1	25.22
FLVCR1	5.55
RBM15	14.62
DENND2D	18.56
AXDND1	25.85
TDRD5	16.25
SNED1	31.65
BPNT1	13.99
SPATA17	131.48
C1orf115	15.01
BROX	14.05
ACP6	8.48
KIF26B	1.9
CNST	15.74
PPP1R21	6.93
KLHDC8A	12.51
PM20D1	0.44
PKDCC	59.34
HAAO	6.88
B3GALNT2	15.4
MAPKAPK2	77.29
IL20	0.79
IL24	0.19
FAIM3	1.72
PIGR	0.2
REEP1	12.4
CAPN2	53.44
WDR26	57.21
REL	3.72
PUS10	2.54
KIAA1841	80.72
ATP11A	12.9
RFTN2	15.74
DISC1	2.3
LRRTM1	3.2
MEMO1	121.41
DPY30	40.04
TYW5	2.21
KCNF1	0.95
PQLC3	17.7
POLR1A	24.97
FAM84A	7.14
KCNJ3	0.84
NEUROD1	1.21
FRZB	1.94
DUSP19	4.16
CCDC104	89.5
CCDC138	6.07
LAPTM4A	294.26
ZSWIM2	3.91
FBXO41	1.84
ACTG2	7.56
VSNL1	1.03
ADCK3	36.37
SLC16A14	0.9
EN1	0.46
TTC7A	177.19
SGCB	17.31
SPATA18	204.47
NOSTRIN	13.19
SGPP2	1.73
INHBB	12.76
XIRP2	3.51
SMARCAD1	3.33
HPGDS	0.53
IP6K2	57.15
PDLIM5	30.82
STPG2	1.29
NEURL3	0.34
RPRD2	24.2
ANKRD23	3.09
CTSS	14.45
MSX1	1.12
MYCBP2	76.44
TNFAIP8L2	0.85
LYSMD1	3.89
SCNM1	38.1
TMOD4	0.64
VPS72	46.14
ERCC3	51.69
RNF149	27.78
IWS1	26.78
SRBD1	7.63
SPRR3	0.15
DHX57	53.0
BMP10	0.08
ARHGAP25	3.91
S100A12	2.21
TGFA	1.47
TDRD10	95.39
KIF2A	44.06
CCNYL1	11.38
FZD5	0.62
C1orf189	20.01
NPPC	0.29
GNPDA2	6.37
GABRG1	0.12
GABRB1	0.43
PAQR3	53.61
NIPAL1	1.17
ANTXR2	27.35
HELQ	10.5
GPR155	1.38
DAPL1	0.79
PMVK	31.83
PBXIP1	89.89
CLDN1	3.19
PYGO2	17.96
HIPK1	69.54
DCST2	26.02
DCST1	13.97
COL6A3	40.09
KBTBD8	4.86
FAM19A4	0.23
EOGT	12.01
LMOD3	0.11
APOA1BP	43.09
POGLUT1	3.74
SLC22A15	1.23
CCKAR	0.15
ATP1A1	155.7
EIF4E3	7.67
SIRT2	61.51
PROK2	9.52
LRRC58	1.45
FSTL1	92.95
LMOD1	58.22
ELF3	0.47
IGFBP7	1001.88
TRIM46	3.96
ARPC2	225.72
TSACC	1244.27
TMEM79	3.43
SSR2	162.29
RNF25	50.85
STK36	97.04
ADORA1	5.0
NEK10	32.58
FEV	0.52
IHH	0.16
KIAA1524	6.13
EOMES	0.59
TGFBR2	17.74
PYGM	11.63
ANKZF1	31.55
TRAT1	0.42
FBLN2	103.71
GLB1L	91.91
STT3B	97.64
NFASC	8.14
FCRL1	0.14
FBXL3	28.5
SERPINI1	7.78
CLASP2	12.51
SUCLG1	38.01
NUAK2	2.27
SPTA1	3.64
PRKCI	10.81
EFHB	18.7
FABP1	0.39
ICA1L	9.65
CTLA4	2.84
ICOS	0.3
RYBP	11.42
GTPBP8	23.52
C3orf17	19.44
TRPC7	1.68
SPICE1	8.24
KIAA1407	8.03
CADPS	1.37
NKX6-1	3.07
CDS1	3.49
WDFY3	10.75
COX18	4.88
SYNPR	0.0
ALB	2.5
C3orf49	1.8
ATXN7	44.27
PSMD6	158.42
PRICKLE2	3.98
ADAMTS9	12.39
PPM1K	20.73
FAM194A	70.95
CLRN1	0.3
GMPS	123.74
GPR116	5.17
TIPARP	47.14
CCNL1	38.02
PTX3	0.78
DCLK3	8.38
SLMAP	48.84
RPP14	14.42
ABHD6	3.86
DNASE1L3	3.15
SDK2	38.71
C3orf67	39.64
APBB2	26.13
IL17RE	0.9
IL17RC	15.63
CRELD1	65.03
PRRT3	2.84
FANCD2OS	121.62
PCOLCE2	8.96
ADAM7	1.0
MTMR14	35.59
TTC14	10.58
MTHFD2L	4.47
RCHY1	23.85
CCDC158	35.4
CPA3	5.14
HPS3	8.19
TM4SF18	2.18
NUP133	11.16
RYK	54.09
TCF23	6.99
DNAJC5G	26.98
UCN	1.47
ZNF513	51.08
PLB1	8.13
KIAA1143	13.34
KIF15	29.94
WDR43	27.34
ZDHHC3	210.32
CDCP1	1.24
CLEC3B	90.33
FYCO1	7.18
VPS35	34.78
ELP6	39.23
FBXO40	0.1
DTX3L	3.99
ZNF148	13.21
NMNAT3	40.13
SMIM12	33.34
ITGAL	5.94
TPRA1	26.35
YEATS2	23.74
GRIK3	1.65
ZC3H12A	6.73
DNALI1	407.13
POLR2H	42.89
KLF15	75.05
CCDC37	27.1
BCL3	61.38
CAMK2N2	0.1
LIPH	1.39
TMEM41A	8.63
HEYL	22.66
IFT122	279.39
RHO	0.13
RFC4	22.0
KCNAB2	8.89
BAP1	260.46
PRKCD	46.46
SFMBT1	65.59
GNL3	26.97
PBRM1	16.58
UVSSA	27.27
FAM208A	20.37
ARHGEF3	20.82
SLBP	55.24
ZDHHC19	189.87
SLC51A	18.64
PIGX	10.5
MFI2	7.36
S100P	2.2
GAL	1.81
ABLIM2	5.54
EXO5	3.25
CLDN19	0.26
ERMAP	3.16
SGMS2	14.43
METAP1	84.09
EMCN	5.45
SLC9B1	55.77
SLC9B2	8.17
BDH2	19.53
CDC25A	17.63
PLXNB1	25.25
CCDC51	11.24
SPRY1	87.38
BSN	7.2
APEH	72.52
INTU	4.52
RNF123	32.19
HSPA4L	81.12
C4orf29	1.81
MAOB	16.92
CAMKV	1.56
MON1A	22.24
MST1R	14.82
TEX264	189.47
DUSP7	12.64
POC1A	26.38
PPM1M	31.54
ETNPPL	2.37
RORA	28.27
PITX2	1.88
PRSS12	32.15
NDST3	0.18
SAP30	27.23
SCRG1	4.05
HAND2	5.33
ANXA5	116.17
